katafxfc,4,Andrés Iniesta-Xavi-Sergio Busquets-Gerard Piqué
takatcfc,4,9,Andrés Iniesta-Xavi-Sergio Busquets-Thomas Vermaelen,Andrés Iniesta-Xavi-Sergio Busquets-Edgar Méndez-Germán Parreño-Thomas Vermaelen-Jan Oblak-Fernando Tissone-Carles Gil
tikirofc,4,10,Andrés Iniesta-Xavi-Sergio Busquets-Claudio Bravo,Andrés Iniesta-Xavi-Sergio Busquets-Joseba Zaldúa-Txema Añibarro-Emiliano Insúa-Javi Márquez-Claudio Bravo-Ryder-David Lombán
takatgfc,4,10,Andrés Iniesta-Xavi-Sergio Busquets-Sandro Ramírez,Andrés Iniesta-Xavi-Sergio Busquets-Jesús Fernández-Sandro Ramírez-Manuel Iturra-Markel Susaeta-Gorka Elustondo-Fabián Orellana-Jon Aurtenetxe
tikirzfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Marc-André ter Stegen,Andrés Iniesta-Xavi-Sergio Busquets-Daniel Pinillos-Alberto de la Bella-Javi López-Marc-André ter Stegen
takatofc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Marc-André ter Stegen,Andrés Iniesta-Xavi-Sergio Busquets-Jonathan Castro-Marc-André ter Stegen-Teerasil Dangda
tikisafc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Marc Bartra,Andrés Iniesta-Xavi-Sergio Busquets-Morales-Marc Bartra-Piotr Trochowski
takattfc,5,9,Andrés Iniesta-Xavi-Sergio Busquets-Jérémy Mathieu-Ivan Rakitić,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Francisco Casilla-Ander Capa-Jérémy Mathieu-Denís Chéryshev-Ivan Rakitić
tikisefc,4,9,Andrés Iniesta-Xavi-Sergio Busquets-Marc-André ter Stegen,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Aleksandar Pantić-Gerard Moreno-Agustín Cousillas-Marc-André ter Stegen-Baba Diawara
takatufc,5,6,Andrés Iniesta-Xavi-Sergio Busquets-Jordi Masip-Sergio Busquets,Andrés Iniesta-Xavi-Sergio Busquets-Jordi Masip-Cristián Álvarez-Sergio Busquets
takatvfc,4,10,Andrés Iniesta-Xavi-Sergio Busquets-Munir El Haddadi,Andrés Iniesta-Xavi-Sergio Busquets-López Silva-Carlos Clerc-Chechu Dorado-Munir El Haddadi-Borja Ekiza-Damián Suárez-Miguel Torres
takatyfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Sandro Ramírez,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Sandro Ramírez-Daniel Carriço-Sebastián Dubarbier
takatzfc,4,5,Andrés Iniesta-Xavi-Sergio Busquets-Jordi Masip,Andrés Iniesta-Xavi-Sergio Busquets-Jordi Masip-Federico Piovaccari
tikislfc,4,8,Andrés Iniesta-Xavi-Sergio Busquets-Sergi Roberto,Andrés Iniesta-Xavi-Sergio Busquets-Borja Viguera-Karim Yoda-Gaël Kakuta-José Luis Gayá-Sergi Roberto
takauhfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Ivan Rakitić,Andrés Iniesta-Xavi-Sergio Busquets-Ivan Rakitić-Sammir-Sofiane Feghouli-Filipe Augusto
takauufc,4,6,Andrés Iniesta-Xavi-Sergio Busquets-Sandro Ramírez,Andrés Iniesta-Xavi-Sergio Busquets-Fabricio-Jonathan Pereira-Sandro Ramírez
tikitjfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Jordi Masip,Andrés Iniesta-Xavi-Sergio Busquets-Jordi Masip-Licá-Jonathan Castro-Augusto Fernández
takauzfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Sergi Roberto,Andrés Iniesta-Xavi-Sergio Busquets-Álex Pérez-Fran Rico-Sergi Roberto-Jon Aurtenetxe
tikitnfc,4,11,Andrés Iniesta-Xavi-Sergio Busquets-Thomas Vermaelen,Andrés Iniesta-Xavi-Sergio Busquets-Matías Nahuel-Iago Herrerín-Nikolaos Karampelas-Emiliano Insúa-Ezequiel Rescaldani-Thomas Vermaelen-Fernando Navarro-Jaume Costa
takavbfc,4,7,Andrés Iniesta-Xavi-Sergio Busquets-Sandro Ramírez,Andrés Iniesta-Xavi-Sergio Busquets-Iago Bouzón-James Rodríguez-Damián Suárez-Sandro Ramírez
